Country,birth,ages_0_14,ages_15_24,ages_25_54,ages_55_64,ages_over_65,Total,Population
Honduras,1.03,1.02,1,0.9,0.83,0.8,0.95,9746117
Hong Kong,1.06,1.12,1.1,0.75,0.87,0.88,0.86,7436154
Hungary,1.06,1.06,1.07,1.02,0.87,0.62,0.91,9684679
Iceland,1.05,1.04,1.02,1.03,0.98,0.89,1,339031
India,1.11,1.13,1.14,1.07,1,0.89,1.08,1366417754
Indonesia,1.05,1.04,1.04,1.05,0.85,0.77,1,270625568
Iran,1.05,1.05,1.05,1.04,0.96,0.87,1.03,82913906
Iraq,1.05,1.04,1.03,1,0.96,0.8,1.01,39309783
Ireland,1.06,1.05,1.02,1.01,1,0.86,1,4882495
Isle of Man,1.08,1.09,1.15,1,1.01,0.9,1,84584
Israel,1.05,1.05,1.04,1.04,0.99,0.82,1.01,8519377
Italy,1.06,1.05,1.01,0.97,0.94,0.76,0.93,60550075
Ivory Coast,1.03,1.01,1,1.03,1.04,0.81,1.01,25716544
Jamaica,1.05,1.04,1.02,0.94,0.98,0.9,0.98,2948279
Japan,1.06,1.06,1.11,0.98,1,0.78,0.94,126860301
Jordan,1.06,1.06,1.11,1.18,1.11,0.96,1.11,10101694
Kazakhstan,0.94,0.96,1.04,0.97,0.78,0.54,0.91,18551427
Kenya,1.02,1.01,1,1,0.96,0.84,1,52573973
Kiribati,1.05,1.04,0.97,0.93,0.82,0.64,0.94,117606
North Korea,1.06,1.04,1.01,1.01,0.91,0.53,0.95,25666161
South Korea,1.05,1.06,1.1,1.08,0.96,0.76,1.01,51225308
Kuwait,1.05,1.09,1.21,1.69,1.26,0.79,1.38,4207083
Kyrgyzstan,1.07,1.05,1.03,0.97,0.78,0.62,0.96,6415850
Laos,1.04,1.02,0.99,0.98,0.94,0.83,0.99,7169455
Latvia,1.05,1.06,1.07,1,0.82,0.5,0.86,1906743
Lebanon,1.05,1.05,1.04,1.03,0.91,0.75,1,6855713
Lesotho,1.03,1.01,0.92,0.95,1.15,1.07,0.98,2125268
Liberia,1.03,1.02,1,0.97,1.03,0.96,1,4937374
Libya,1.05,1.04,1.04,1.09,0.97,0.86,1.05,6777452
Liechtenstein,1.26,1.21,1.03,1,0.93,0.85,0.99,38019
Lithuania,1.06,1.05,1.07,0.99,0.8,0.52,0.86,2759627
Luxembourg,1.06,1.06,1.05,1.05,1.05,0.82,1.02,615729
Macau,1.05,1.06,1.12,0.81,0.99,0.88,0.9,640445
Madagascar,1.03,1.02,1.01,1,0.97,0.83,1,26969307
Malawi,1.02,0.99,0.98,0.99,0.93,0.78,0.98,18628747
Malaysia,1.07,1.06,1.03,1.02,1.03,0.9,1.03,31949777
Maldives,1.05,1.04,1.27,1.19,0.92,0.81,1.13,530953
Mali,1.03,1.01,0.91,0.85,1.04,0.99,0.95,19658031
Malta,1.04,1.07,1.07,1.08,1.01,0.85,1.01,440372
Marshall Islands,1.05,1.04,1.04,1.04,0.97,0.97,1.03,58791
Mauritania,1.03,1.01,0.96,0.87,0.83,0.73,0.93,4525696
Mauritius,1.05,1.04,1.03,1,0.91,0.71,0.96,1198575
Mexico,1.05,1.05,1.03,0.94,0.84,0.8,0.96,127575529
F.S. Micronesia,1.05,1.03,1,0.93,0.93,0.82,0.97,113815
Moldova,1.06,1.06,1.08,1.04,0.86,0.66,0.96,4043263
Monaco,1.03,1.06,1.09,1.03,0.98,0.8,0.94,38964
Mongolia,1.05,1.04,1.03,0.94,0.83,0.67,0.95,3225167
Montenegro,1.04,1.08,1.07,0.99,0.96,0.77,0.97,627987
Montserrat,1.03,1.06,1.1,0.93,0.88,1.26,1,4989
Morocco,1.05,1.04,1.01,0.97,0.99,0.94,1,36471769
Mozambique,1.03,1.03,1,0.87,0.95,0.96,0.97,30366036
Myanmar,1.06,1.05,1.02,0.96,0.88,0.77,0.97,54045420
Namibia,1.03,1.02,1,0.93,0.8,0.74,0.96,2494530
Nauru,0.84,0.79,0.85,1.03,0.66,0.56,0.88,10756
Nepal,1.06,1.11,1.07,0.82,0.9,0.98,0.96,28608710
Netherlands,1.05,1.05,1.04,1.01,0.99,0.83,0.98,17097130
New Caledonia,1.05,1.05,1.05,1.02,0.94,0.78,1,282750
New Zealand,1.05,1.06,1.07,1.02,0.95,0.88,1,4783063
Nicaragua,1.05,1.04,1.02,0.91,0.85,0.79,0.95,6545502
Niger,1.03,1.02,0.97,0.93,0.98,0.92,0.98,23310715
Nigeria,1.06,1.04,1.03,1,0.96,0.89,1.02,200963599
North Macedonia,1.07,1.07,1.07,1.03,0.97,0.78,0.99,2083459
Northern Mariana Islands,1.16,1.17,1.17,1.07,1.19,1.15,1.13,56188
Norway,1.05,1.05,1.05,1.07,1.03,0.87,1.02,5378857
Oman,1.05,1.05,1.11,1.33,1.13,0.92,1.18,4974986
Pakistan,1.05,1.04,1.05,1.05,1.02,0.86,1.04,216565318
Palau,1.07,1.07,1,1.58,0.58,0.32,1.07,18008
Panama,1.04,1.04,1.04,1.03,0.99,0.84,1.01,4246439
Papua New Guinea,1.05,1.04,1.03,1.05,1.07,0.96,1.04,8776109
Paraguay,1.05,1.04,1.01,1,1.03,0.89,1,7044636
Peru,1.05,1.04,1.01,0.92,0.92,0.89,0.96,32510453
Philippines,1.05,1.04,1.04,1.04,0.86,0.68,1.01,108116615
Poland,1.06,1.06,1.06,1.02,0.91,0.67,0.94,37887768
Portugal,1.05,1.05,1.06,0.97,0.84,0.66,0.9,10226187
Puerto Rico,1.06,1.04,1.03,0.91,0.85,0.75,0.9,2933408
Qatar,1.02,1.02,2.42,5.01,3.4,1.89,3.39,2832067
Romania,1.06,1.06,1.05,1.03,0.89,0.68,0.95,19364557
Russia,1.06,1.06,1.05,0.97,0.77,0.47,0.86,145872256
Rwanda,1.03,1.02,1.01,0.91,0.81,0.67,0.96,12626950
Saint Helena,1.06,1.04,1.04,0.99,0.97,1.04,1.01,6059
Saint Kitts and Nevis,1.02,1,0.94,1.05,1.01,0.89,1,52823
Saint Lucia,1.06,1.06,1.03,0.93,0.86,0.83,0.95,182790
Saint Pierre and Miquelon,1.06,1.07,1.08,0.94,1.07,0.75,0.94,5822
Saint Vincent and the Grenadines,1.03,1.02,1.02,1.08,1.08,0.91,1.04,110589
Samoa,1.05,1.07,1.06,1.05,1.04,0.78,1.04,197097
San Marino,1.09,1.12,1.1,0.89,0.94,0.82,0.94,33860
Sao Tome and Principe,1.03,1.03,1.03,0.97,0.87,0.77,1,215056
Saudi Arabia,1.05,1.04,1.09,1.52,1.61,1.12,1.3,34268528
Senegal,1.03,1.01,0.99,0.86,0.75,0.77,0.94,16296364
Serbia,1.07,1.06,1.07,1.02,0.94,0.72,0.95,8772235
Seychelles,1.03,1.06,1.12,1.15,1.02,0.7,1.07,97739
Sierra Leone,1.03,1,0.96,0.92,0.9,0.7,0.95,7813215
