date,team1,team2,site,s1_1,s1_2,s1_3,s1_4,s1_5,sets_1,s2_1,s2_2,s2_3,s2_4,s2_5,sets_2,winner,loser,attendance
2019-12-08,San Diego,12 Hawaii,DI WVB Championship,23,21,21,NA,NA,0,25,25,25,NA,NA,3,12 Hawaii,San Diego,8058
2019-12-13,16 Purdue,1 Baylor,DI WVB Championship,12,25,15,17,NA,1,25,23,25,25,NA,3,1 Baylor,16 Purdue,1848
2019-12-13,9 Kentucky,8 Washington,"@Waco, TX (DI WVB Championship)",16,24,25,22,NA,1,25,26,15,25,NA,3,8 Washington,9 Kentucky,1848
2019-12-13,Louisville,2 Texas,DI WVB Championship,25,25,17,18,15,3,22,22,25,25,12,2,Louisville,2 Texas,4137
2019-12-13,12 Hawaii,5 Nebraska,"@Madison, WI (DI WVB Championship)",27,22,19,NA,NA,0,29,25,25,NA,NA,3,5 Nebraska,12 Hawaii,7052
2019-12-13,13 Texas A&M,4 Wisconsin,DI WVB Championship,20,17,23,NA,NA,0,25,25,25,NA,NA,3,4 Wisconsin,13 Texas A&M,7052
2019-12-13,10 Florida,7 Minnesota,"@Austin, TX (DI WVB Championship)",25,14,25,15,11,2,23,25,16,25,15,3,7 Minnesota,10 Florida,4137
2019-12-13,Cincinnati,11 Penn St.,"@Stanford, CA (DI WVB Championship)",25,17,25,12,11,2,20,25,23,25,15,3,11 Penn St.,Cincinnati,2382
2019-12-13,Utah,3 Stanford,DI WVB Championship,25,14,10,25,11,2,22,25,25,12,15,3,3 Stanford,Utah,2609
2019-12-14,8 Washington,1 Baylor,DI WVB Championship,20,25,19,18,NA,1,25,21,25,25,NA,3,1 Baylor,8 Washington,3008
2019-12-14,Louisville,7 Minnesota,"@Austin, TX (DI WVB Championship)",21,14,16,NA,NA,0,25,25,25,NA,NA,3,7 Minnesota,Louisville,3915
2019-12-14,5 Nebraska,4 Wisconsin,DI WVB Championship,18,22,19,NA,NA,0,25,25,25,NA,NA,3,4 Wisconsin,5 Nebraska,7052
2019-12-14,11 Penn St.,3 Stanford,DI WVB Championship,22,15,17,NA,NA,0,25,25,25,NA,NA,3,3 Stanford,11 Penn St.,2946
2019-12-19,4 Wisconsin,1 Baylor,"@Pittsburgh, PA (DI WVB Championship)",25,25,25,25,NA,3,27,21,17,19,NA,1,4 Wisconsin,1 Baylor,0
2019-12-19,7 Minnesota,3 Stanford,"@Pittsburgh, PA (DI WVB Championship)",19,22,22,NA,NA,0,25,25,25,NA,NA,3,3 Stanford,7 Minnesota,14661
2019-12-21,4 Wisconsin,3 Stanford,"@Pittsburgh, PA (DI WVB Championship)",16,17,20,NA,NA,0,25,25,25,NA,NA,3,3 Stanford,4 Wisconsin,16290
